Rank,Performance,"Surname, first name",Club,Nat.,YOB,M/F,Rank M/F,Cat,Cat. Rank,Avg.Speed km/h,Age graded performance,Runner ID,Event,Date,Distance,Finishers,winner_time,"Original name
Surname, first name",hours
50,9:50:39 h,"Coles, Malcolm",Valley Striders,GBR,1940,M,42,M70,1,8.174,6:53:35 h,25276,32nd Rowbotham's Round Rotherham (GBR),18.10.2014,50mi  trail race,"228 (169 M, 59 F)",6:52:42 h,,
311,7:08:25 h,"Coles, Malcolm",Valley Striders,GBR,1940,M,264,M70,1,7.212,5:04:21 h,25276,Haworth Hobble 32 Miles (GBR),15.03.2014,32mi  trail race,"407 (330 M, 77 F)",4:04:31 h,,
97,9:58:19 h,,Valley Striders,GBR,1940,M,89,M70,1,8.069,7:10:41 h,25276,30th Rowbotham's Round Rotherham (GBR),20.10.2012,50mi  trail race,"260 (212 M, 48 F)",6:29:29 h,"Coles, Malcolm",
42,31:07:00 h,"Coles, Malcolm",*Leeds,GBR,1940,M,36,M65,2,5.172,23:09:48 h,25276,39th Heart of Scotland 100 Mile (GBR),29.-31.05.2010,100mi  trail race,"50 (43 M, 7 F)",24:37:00 h,,
182,6:14:16 h,"Coles, Malcolm",Valley Striders,GBR,1940,M,155,M65,1,8.256,4:38:37 h,25276,Haworth Hobble 32 Miles (GBR),13.03.2010,32mi  trail race,"338 (280 M, 58 F)",4:18:10 h,,
20,8:26:22 h,"Coles, Malcolm",Valley Striders,GBR,1940,M,19,M65,1,9.535,6:16:57 h,25276,27th Rowbotham's Round Rotherham (GBR),17.10.2009,50mi  trail race,"208 (162 M, 46 F)",6:42:12 h,,
79,10:08:00 h,"Coles, Malcolm",,GBR,1940,M,74,M65,1,5.876,7:37:21 h,25276,Old County Tops Fell Race (GBR),16.05.2009,37mi  trail race,"112 (106 M, 6 F)",7:08:00 h,,
166,6:28:41 h,"Coles, Malcolm",Skyrac,GBR,1940,M,139,M65,1,7.950,4:52:23 h,25276,Haworth Hobble 32 Miles (GBR),14.03.2009,32mi  trail race,"286 (235 M, 51 F)",4:13:07 h,,
36,9:51:14 h,"Coles, Malcolm",Skyrac,GBR,1940,M,34,M65,1,8.166,7:24:44 h,25276,26th Rowbotham's Round Rotherham (GBR),12.12.2008,50mi  trail race,"172 (143 M, 29 F)",7:23:19 h,,
71,9:34:00 h,"Coles, Malcolm",,GBR,1940,M,69,M65,1,6.224,7:16:15 h,25276,Old County Tops Fell Race (GBR),17.05.2008,37mi  trail race,"112 (108 M, 4 F)",6:49:00 h,,
78,5:32:32 h,"Coles, Malcolm",Skyrac,GBR,1940,M,73,M65,1,9.292,4:12:44 h,25276,Haworth Hobble 32 Miles (GBR),15.03.2008,32mi  trail race,"314 (262 M, 52 F)",4:06:43 h,,
16,8:29:41 h,"Coles, Malcolm",Skyrac,GBR,1940,M,15,M65,1,9.473,6:27:22 h,25276,25th Rowbotham's Round Rotherham (GBR),08.12.2007,50mi  trail race,"209 (174 M, 35 F)",6:17:54 h,,
44,9:32:58 h,"Coles, Malcolm",Skyrac,GBR,1940,M,41,M65,1,8.426,7:19:56 h,25276,24th Rowbotham's Round Rotherham (GBR),09.12.2006,50mi  trail race,"159 (127 M, 32 F)",6:27:07 h,,
514,9:53:09 h,,*Leeds LS6 4EL,GBR,1940,M,468,M65,4,7.890,7:40:00 h,25276,21. Swiss Alpine Marathon (SUI),29.07.2006,78km  trail race,"930 (809 M, 121 F)",6:05:04 h,"Coles, Malcolm",
578,10:10:40 h,,TF Feuerbach,GER,1952,M,525,M50,67,7.664,8:50:37 h,2,21. Swiss Alpine Marathon (SUI),29.07.2006,78km  trail race,"930 (809 M, 121 F)",6:05:04 h,"Abel, Jürgen",
25,9:27:19 h,"Coles, Malcolm",Skyrac,GBR,1940,M,24,M65,1,8.510,7:19:58 h,25276,23rd Rowbotham's Round Rotherham (GBR),10.12.2005,50mi  trail race,"134 (114 M, 20 F)",6:33:56 h,,
76,5:58:35 h,"Coles, Malcolm",Skyrac,GBR,1940,M,64,M60,1,8.617,4:40:53 h,25276,Haworth Hobble 32 Miles (GBR),12.03.2005,32mi  trail race,"200 (177 M, 23 F)",4:13:54 h,,
23,10:33:02 h,"Coles, Malcolm",Skyrack,GBR,1940,M,22,M60,1,5.644,8:25:44 h,25276,Old County Tops Fell Race (GBR),17.05.2003,37mi  trail race,"26 (25 M, 1 F)",8:23:20 h,,
40,5:08:01 h,"Coles, Malcolm",Skyrac,GBR,1940,M,39,M60,2,10.032,4:06:05 h,25276,Haworth Hobble 32 Miles (GBR),15.03.2003,32mi  trail race,"232 (195 M, 37 F)",4:05:45 h,,
21,9:16:05 h,"Coles, Malcolm",Skyrac,GBR,1940,M,20,M60,1,8.682,7:24:16 h,25276,20th Rowbotham's Round Rotherham (GBR),14.12.2002,50mi  trail race,"101 (92 M, 9 F)",7:06:37 h,,
27,10:29:00 h,"Coles, Malcolm",Skyrac,GBR,1940,M,27,M60,1,5.680,8:27:25 h,25276,Old County Tops Fell Race (GBR),18.05.2002,37mi  trail race,"44 (41 M, 3 F)",7:42:00 h,,
17,9:31:57 h,"Coles, Malcolm",Skyrac,GBR,1940,M,16,M60,1,8.441,7:45:48 h,25276,18th Rowbotham's Round Rotherham (GBR),09.12.2000,50mi  trail race,"90 (81 M, 9 F)",7:11:26 h,,
11,8:36:05 h,"Coles, Malcolm",Skyrac,GBR,1940,M,10,M55,1,9.355,7:04:20 h,25276,17th Rowbotham's Round Rotherham (GBR),11.12.1999,50mi  trail race,"100 (87 M, 13 F)",7:08:15 h,,
9,8:06:24 h,"Coles, Malcolm",Skyrac,GBR,1940,M,9,M55,1,9.926,6:43:43 h,25276,16th Rowbotham's Round Rotherham (GBR),12.12.1998,50mi  trail race,"122 (106 M, 16 F)",7:08:55 h,,
39,11:03:44 h,"Coles, Malcolm",,GBR,1940,M,37,M55,5,5.424,9:16:05 h,25276,Défi des Muverans (SUI),25.07.1998,60km  trail race,"48 (46 M, 2 F)",7:30:48 h,,
19,9:16:46 h,"Coles, Malcolm",Skyrac,GBR,1940,M,19,M55,1,6.417,7:46:28 h,25276,Old County Tops Fell Race (GBR),27.06.1998,37mi  trail race,"40 (38 M, 2 F)",7:50:27 h,,
7,6:45:45 h,"Coles, Malcolm",Skyrac,GBR,1940,M,7,M55,1,9.519,5:39:57 h,25276,Doncaster Doddle 40mile Trail (GBR),22.02.1998,40mi  trail race,"38 (31 M, 7 F)",5:56:08 h,,
11,8:01:01 h,"Coles, Malcolm",Skyrac,GBR,1940,M,10,M55,1,10.037,6:43:00 h,25276,15th Rowbotham's Round Rotherham (GBR),13.12.1997,50mi  trail race,"111 (98 M, 13 F)",6:58:56 h,,
13,8:13:06 h,"Coles, Malcolm",Skyrac,GBR,1940,M,11,M55,1,9.791,6:56:58 h,25276,14th Rowbotham's Round Rotherham (GBR),14.12.1996,50mi  trail race,"89 (79 M, 10 F)",6:17:50 h,,
30,7:40:20 h,"Coles, Malcolm",*Montreux,GBR,1940,M,26,M55,1,9.385,6:32:49 h,25276,1ère Le Défi de Val de Travers (SUI),24.08.1996,72km  trail race,"124 (111 M, 13 F)",5:46:36 h,,
5,98.751 km,"Coles, Malcolm",,GBR,1940,M,5,M55,1,8.229,115.728 km,25276,Towneley 12 Hour Race (GBR),16.06.1996,12h  road race,"11 (10 M, 1 F)",133.561 km,,
11,8:11:37 h,"Coles, Malcolm",Skyrac,GBR,1940,M,10,M55,1,9.821,6:59:30 h,25276,13th Rowbotham's Round Rotherham (GBR),16.12.1995,50mi  trail race,"83 (71 M, 12 F)",7:04:30 h,,
49,10:36:14 h,"Coles, Malcolm",Skyrac,GBR,1940,M,48,M50,4,5.615,9:07:52 h,25276,Old County Tops Fell Race (GBR),24.06.1995,37mi  trail race,"64 (60 M, 4 F)",7:23:48 h,,
26,8:53:28 h,"Coles, Malcolm",Skyrac,GBR,1940,M,25,M50,3,9.050,7:39:23 h,25276,12th Rowbotham's Round Rotherham (GBR),17.12.1994,50mi  trail race,"83 (74 M, 9 F)",7:05:55 h,,
20,6:27:27 h,"Coles, Malcolm",Skyrac Athletic Club,GBR,1940,M,20,M40,4,13.287,6:06:48 h,25276,34th London to Brighton Road Race (GBR),07.10.1984,85.8km  road race,"124 (124 M, 0 F)",5:24:15 h,,
93,7:37:19 h,"Coles, Malcolm",Skyrac A.C,GBR,1940,M,90,M40,11,11.323,7:16:31 h,25276,33rd London to Brighton Road Race (GBR),25.09.1983,86.3km  road race,"127 (124 M, 3 F)",5:12:32 h,,
42,3:34:21 h,"Coles, Malcolm",Skyrac AC,GBR,1940,M,42,M40,3,13.514,3:26:17 h,25276,South London Harriers 30 Mile (GBR),04.09.1982,30mi  road race,"102 (101 M, 1 F)",2:57:38 h,,
220,30:15:15 h,"McClintock, Joanna",,USA,1966,F,9,W35,3,4.132,30:08:11 h,68945,10ème Le Grand Raid de la Réunion (FRA),18.-20.10.2002,125km  trail race,"761 (697 M, 64 F)",17:55:21 h,,
36,22:41:09 h,,,GER,1953,F,4,W45,1,7.094,21:06:01 h,68,26th Western States 100 Mile Endurance Run (USA),26.-27.06.1999,100mi  trail race,"216 (175 M, 41 F)",17:34:22 h,"Backhaus, Helga",
192,29:28:36 h,,,USA,1966,F,32,W23,8,5.460,29:28:26 h,68945,26th Western States 100 Mile Endurance Run (USA),26.-27.06.1999,100mi  trail race,"216 (175 M, 41 F)",17:34:22 h,"McClintock, Joanna",
61,5:43:41 h,"Schofield, Brian","*Florence, OR",USA,1996,M,47,M23,17,8.729,5:43:41 h,1723305,35th McKenzie River 50 km Trail Run (USA),18.06.2022,50km  trail race,"165 (96 M, 69 F)",3:25:07 h,,
73,9:46:32 h,"Bondi, Stewart",,GBR,,M,53,#NA,19,5.597,9:46:32 h,136976,Big Day out - The Crossing (GBR),23.07.2016,34mi  trail race,"75 (54 M, 21 F)",4:47:00 h,,
1004,24:05:32 h,,Dartmoor Runners,GBR,,M,911,#NA,38,3.694,24:05:32 h,136976,8ème Ultra Trail Tour du Mont Blanc (UTMB) (ITA),28.-29.08.2010,89km  trail race,"1127 (1015 M, 112 F)",10:30:37 h,"Bondi, Stewart",
1182,45:24:06 h,,,GBR,,M,1113,#NA,79,3.634,45:24:06 h,136976,6ème Ultra Trail Tour du Mont Blanc (UTMB) (FRA),29.-31.08.2008,165km  trail race,"1269 (1188 M, 81 F)",20:56:59 h,"Bondi, Stewart",
33,4d 00:23:28 h,"Boocock, Katy",,GBR,1963,F,8,W55,1,2.671,3d 03:55:04 h,982392,2nd Spine Challenger - North (GBR),15.-20.01.2023,160mi  trail race,"39 (28 M, 11 F)",2d 13:13:59 h,,
172,38:57:38 h,,Highland Harriers,GBR,1963,F,13,W50,1,2.875,33:16:21 h,982392,Andorra Ultra Trail - Mític 112 km (AND),07.-09.07.2017,112km  trail race,"212 (190 M, 22 F)",18:49:29 h,"Boocock, Katy",
227,7:12:54 h,"Swift, John",Chorley,GBR,1940,M,182,M70,1,7.138,5:18:53 h,476861,Haworth Hobble 32 Miles (GBR),12.03.2011,32mi  trail race,"316 (251 M, 65 F)",4:05:32 h,,
287,7:39:19 h,"Swift, John",Chorley,GBR,1940,M,241,M65,5,6.727,5:41:55 h,476861,Haworth Hobble 32 Miles (GBR),13.03.2010,32mi  trail race,"338 (280 M, 58 F)",4:18:10 h,,
113,6:32:12 h,"Swift, John",Chorley,GBR,1940,M,96,M60,4,7.878,5:07:13 h,476861,Haworth Hobble 32 Miles (GBR),12.03.2005,32mi  trail race,"200 (177 M, 23 F)",4:13:54 h,,
97,6:04:55 h,"Swift, John",Chorley,GBR,1940,M,84,M60,4,8.468,4:51:32 h,476861,Haworth Hobble 32 Miles (GBR),15.03.2003,32mi  trail race,"232 (195 M, 37 F)",4:05:45 h,,
39,11:01:07 h,"Swift, John",Chorley,GBR,1940,M,38,M55,2,5.404,9:03:35 h,476861,Old County Tops Fell Race (GBR),20.05.2000,37mi  trail race,"44 (43 M, 1 F)",7:10:37 h,,
37,11:09:34 h,"Swift, John",Chorley,GBR,1940,M,35,M55,2,5.336,9:20:58 h,476861,Old County Tops Fell Race (GBR),27.06.1998,37mi  trail race,"40 (38 M, 2 F)",7:50:27 h,,
39,10:58:57 h,"Swift, John",Chorley,GBR,1940,M,37,M55,1,5.422,9:22:17 h,476861,Old County Tops Fell Race (GBR),29.06.1996,37mi  trail race,"40 (38 M, 2 F)",7:13:00 h,,
45,10:12:14 h,"Swift, John",Chorley,GBR,1940,M,44,M50,3,5.836,8:47:12 h,476861,Old County Tops Fell Race (GBR),24.06.1995,37mi  trail race,"64 (60 M, 4 F)",7:23:48 h,,
45,10:47:29 h,"Swift, John",Chorley,GBR,1940,M,43,M50,2,5.518,9:22:36 h,476861,Old County Tops Fell Race (GBR),25.06.1994,37mi  trail race,"52 (50 M, 2 F)",8:24:06 h,,
75,10:45:28 h,"Swift, John",,GBR,1940,M,69,M50,1,5.535,9:25:53 h,476861,Old County Tops Fell Race (GBR),26.06.1993,37mi  trail race,"84 (76 M, 8 F)",7:46:05 h,,
69,11:06:21 h,"Swift, John",Chorley,GBR,1940,M,66,M50,1,5.362,9:49:24 h,476861,Old County Tops Fell Race (GBR),27.06.1992,37mi  trail race,"72 (69 M, 3 F)",6:49:38 h,,
33,6:32:56 h,"Swift, John",Chorley A.C.,GBR,1940,M,31,M45,4,9.830,5:53:39 h,476861,8th Bolton 40 miles road race (GBR),09.09.1990,40mi  road race,"36 (34 M, 2 F)",4:17:23 h,,
20,6:07:12 h,"Swift, John",Chorley A.C.,GBR,1940,M,19,M45,3,10.519,5:33:21 h,476861,7th Bolton 40 miles road race (GBR),10.09.1989,40mi  road race,"29 (27 M, 2 F)",4:49:22 h,,
27,5:56:37 h,"Swift, John",Chorley A.C.,GBR,1940,M,27,M45,4,10.831,5:26:32 h,476861,6th Bolton 40 miles road race (GBR),11.09.1988,40mi  road race,"33 (33 M, 0 F)",4:22:40 h,,
27,7:42:04 h,"Steele, Steven",,USA,1955,M,24,M50,4,6.493,6:41:30 h,106183,2nd Auburn Trail Run 50K (USA),06.06.2009,50km  trail race,"41 (32 M, 9 F)",4:28:17 h,,
243,10:05:30 h,"Steele, Steven",,USA,1955,M,195,M50,27,7.974,8:46:08 h,106183,30th American River 50 Mile Endurance Run (USA),04.04.2009,50mi  trail race,"510 (367 M, 143 F)",6:04:44 h,,
324,6:38:09 h,"Steele, Steven","*Roseville, CA",USA,1955,M,237,M50,23,7.535,5:45:58 h,106183,20th Way Too Cool 50K Endurance Run (USA),14.03.2009,50km  trail race,"458 (310 M, 148 F)",3:39:52 h,,
17,13:18:18 h,"Steele, Steven","*Roseville, CA",USA,1955,M,11,M50,1,6.435,11:39:53 h,106183,22d Sierra Nevada Endurance 53 Mile Run (USA),27.09.2008,53.2mi  trail race,"24 (16 M, 8 F)",7:59:08 h,,
53,6:55:37 h,"Steele, Steven",*CA,USA,1955,M,37,M50,6,7.218,6:04:23 h,106183,13th Run On The Sly 50 Km (USA),31.08.2008,50km  trail race,"70 (46 M, 24 F)",4:19:03 h,,
343,8:22:56 h,"White, Mick",LDWA,GBR,,M,271,#NA,78,6.144,8:22:56 h,653422,Haworth Hobble 32 Miles (GBR),14.03.2015,32mi  trail race,"383 (301 M, 82 F)",4:09:10 h,,
92,6:17:31 h,"Parry, Dave",Macclesfield,GBR,1956,M,77,M45,17,8.185,5:42:43 h,481523,Haworth Hobble 32 Miles (GBR),12.03.2005,32mi  trail race,"200 (177 M, 23 F)",4:13:54 h,,
56,5:27:20 h,"Parry, Dave",Macclesfield,GBR,1956,M,51,M45,9,9.440,4:59:43 h,481523,Haworth Hobble 32 Miles (GBR),14.03.2004,32mi  trail race,"212 (177 M, 35 F)",3:56:06 h,,
61,9:51:41 h,"Parry, Dave",Macclesfield,GBR,1956,M,57,M35,3,6.038,9:46:26 h,481523,Old County Tops Fell Race (GBR),26.06.1993,37mi  trail race,"84 (76 M, 8 F)",7:46:05 h,,
44,6:21:36 h,"Westgate, Tom",Dark Peak FR,GBR,,M,42,#NA,8,7.971,6:21:36 h,278561,Manx Mountain Marathon (GBR),07.04.2007,31.5mi  trail race,"113 (98 M, 15 F)",4:22:45 h,,
149,11:16:58 h,,Dark Peak Fell Runners,GBR,1957,M,129,M55,12,7.132,9:37:40 h,240530,30th Rowbotham's Round Rotherham (GBR),20.10.2012,50mi  trail race,"260 (212 M, 48 F)",6:29:29 h,"Hakes, Richard",
155,11:15:09 h,"Hakes, Richard",Dark Peak Fell Runners,GBR,1957,M,131,M50,24,7.151,9:41:23 h,240530,29th Rowbotham's Round Rotherham (GBR),15.10.2011,50mi  trail race,"264 (209 M, 55 F)",6:47:14 h,,
78,7:16:45 h,"Hakes, Richard",Dark Peak FR,GBR,1957,M,71,M45,6,6.964,6:33:05 h,240530,Manx Mountain Marathon (GBR),07.04.2007,31.5mi  trail race,"113 (98 M, 15 F)",4:22:45 h,,
113,14:05:25 h,"Fulton, Jim",,GBR,1954,M,87,M65,6,5.711,10:29:20 h,240528,40th Rowbotham's Round Rotherham (GBR),07.10.2023,50mi  trail race,"170 (119 M, 51 F)",6:52:14 h,,
66,14:04:18 h,"Fulton, Jim",,GBR,1954,M,49,M65,5,5.718,10:35:05 h,240528,39th Rowbotham's Round Rotherham (GBR),01.10.2022,50mi  trail race,"114 (83 M, 31 F)",7:06:33 h,,
80,13:25:26 h,"Fulton, Jim",,GBR,1954,M,63,M65,1,5.994,10:12:08 h,240528,38th Rowbotham's Round Rotherham (GBR),09.10.2021,50mi  trail race,"143 (109 M, 34 F)",6:48:29 h,,
99,12:28:03 h,"Fulton, Jim",FRA,GBR,1954,M,86,M60,5,6.454,9:45:57 h,240528,36th Rowbotham's Round Rotherham (GBR),20.10.2018,50mi  trail race,"155 (127 M, 28 F)",6:00:52 h,,
71,11:40:16 h,"Fulton, Jim",Dark Peak Fell Runners,GBR,1954,M,63,M60,4,6.895,9:13:59 h,240528,35th Rowbotham's Round Rotherham (GBR),14.10.2017,50mi  trail race,"169 (136 M, 33 F)",7:01:13 h,,
105,11:50:08 h,"Fulton, Jim",Dark Peak Fell Runners,GBR,1954,M,89,M60,3,6.799,9:27:20 h,240528,34th Rowbotham's Round Rotherham (GBR),15.10.2016,50mi  trail race,"193 (155 M, 38 F)",6:29:50 h,,
132,12:43:09 h,"Fulton, Jim",Dark Peak Fell Runners,GBR,1954,M,107,M60,7,6.326,10:15:38 h,240528,33rd Rowbotham's Round Rotherham (GBR),17.10.2015,50mi  trail race,"197 (153 M, 44 F)",6:48:44 h,,
116,11:51:15 h,"Fulton, Jim",Dark Peak Fell Runners,GBR,1954,M,90,M60,6,6.788,9:39:15 h,240528,32nd Rowbotham's Round Rotherham (GBR),18.10.2014,50mi  trail race,"228 (169 M, 59 F)",6:52:42 h,,
28,109.376 km,"Fulton, Jim",DPF Runners,GBR,1954,M,15,M60,2,4.557,134.303 km,240528,Centurion Schiedam (NED),07.-08.06.2014,24h  walking road on a loop < 5km/3mi,"37 (26 M, 11 F)",160.934 km,,
115,10:42:22 h,"Fulton, Jim",DPFR,GBR,1954,M,100,M55,7,7.516,8:48:10 h,240528,31st Rowbotham's Round Rotherham (GBR),19.10.2013,50mi  trail race,"236 (189 M, 47 F)",6:52:14 h,,
148,11:16:58 h,,Dark Peak Fell Runners,GBR,1954,M,129,M55,12,7.132,9:21:53 h,240528,30th Rowbotham's Round Rotherham (GBR),20.10.2012,50mi  trail race,"260 (212 M, 48 F)",6:29:29 h,"Fulton, Jim",
153,11:15:09 h,"Fulton, Jim",Dark Peak Fell Runners,GBR,1954,M,131,M55,11,7.151,9:25:39 h,240528,29th Rowbotham's Round Rotherham (GBR),15.10.2011,50mi  trail race,"264 (209 M, 55 F)",6:47:14 h,,
78,10:31:47 h,"Fulton, Jim",Dark Peak Fell Runners,GBR,1954,M,68,M55,4,7.642,8:59:07 h,240528,27th Rowbotham's Round Rotherham (GBR),17.10.2009,50mi  trail race,"208 (162 M, 46 F)",6:42:12 h,,
123,13:46:08 h,"Fulton, Jim",Dark Peak,GBR,1954,M,104,M50,6,5.844,11:51:24 h,240528,26th Rowbotham's Round Rotherham (GBR),12.12.2008,50mi  trail race,"172 (143 M, 29 F)",7:23:19 h,,
111,11:45:10 h,"Fulton, Jim",Dark Peak,GBR,1954,M,99,M50,10,6.847,10:12:44 h,240528,25th Rowbotham's Round Rotherham (GBR),08.12.2007,50mi  trail race,"209 (174 M, 35 F)",6:17:54 h,,
71,11:09:39 h,"Fulton, Jim",Dark Peak,GBR,1954,M,62,M50,9,7.210,9:47:05 h,240528,24th Rowbotham's Round Rotherham (GBR),09.12.2006,50mi  trail race,"159 (127 M, 32 F)",6:27:07 h,,
43,10:36:08 h,"Fulton, Jim",Dark Peak,GBR,1954,M,38,M50,2,7.590,9:22:40 h,240528,23rd Rowbotham's Round Rotherham (GBR),10.12.2005,50mi  trail race,"134 (114 M, 20 F)",6:33:56 h,,
47,10:26:20 h,"Fulton, Jim",Dark Peak,GBR,1954,M,40,M50,4,7.708,9:18:49 h,240528,22nd Rowbotham's Round Rotherham (GBR),11.12.2004,50mi  trail race,"120 (96 M, 24 F)",7:07:23 h,,
44,11:36:02 h,"Fulton, Jim",Dark Peak,GBR,1954,M,40,M45,7,6.936,10:26:26 h,240528,21st Rowbotham's Round Rotherham (GBR),13.12.2003,50mi  trail race,"93 (85 M, 8 F)",7:04:58 h,,
31,10:08:38 h,"Fulton, Jim",Dark Peak,GBR,1954,M,29,M45,5,7.933,9:12:32 h,240528,20th Rowbotham's Round Rotherham (GBR),14.12.2002,50mi  trail race,"101 (92 M, 9 F)",7:06:37 h,,
23,9:39:35 h,,Dark Peak,GBR,1954,M,22,M45,4,8.330,8:50:40 h,240528,19th Rowbotham's Round Rotherham (GBR),08.12.2001,50mi  trail race,"110 (97 M, 13 F)",6:44:54 h,"Fulton, Jim",
30,11:14:08 h,"Fulton, Jim",Dark Peak,GBR,1954,M,28,M45,4,7.162,10:22:30 h,240528,18th Rowbotham's Round Rotherham (GBR),09.12.2000,50mi  trail race,"90 (81 M, 9 F)",7:11:26 h,,
197,48.280 km,"Skelton, Peter",,GBR,,M,115,#NA,84,2.012,48.280 km,1052746,Endure 24 hour run (GBR),09.-10.06.2018,24h  trail race,"200 (120 M, 80 F)",217.261 km,,
91,9:50:00 h,"Yearsley, Mark",,GBR,,M,88,#NA,39,6.055,9:50:00 h,1464582,Old County Tops Fell Race (GBR),17.05.2008,37mi  trail race,"112 (108 M, 4 F)",6:49:00 h,,
25,9:08:00 h,"Yearsley, Mark",CFR,GBR,,M,22,#NA,13,6.520,9:08:00 h,1464582,Old County Tops Fell Race (GBR),21.05.2005,37mi  trail race,"82 (65 M, 17 F)",6:51:00 h,,
19,8:35:25 h,"Yearsley, Mark",CFR,GBR,,M,19,#NA,11,6.932,8:35:25 h,1464582,Old County Tops Fell Race (GBR),22.05.2004,37mi  trail race,"64 (59 M, 5 F)",6:54:29 h,,
17,9:03:03 h,"Yearsley, Mark",CFR,GBR,,M,17,#NA,13,6.579,9:03:03 h,1464582,Old County Tops Fell Race (GBR),20.05.2000,37mi  trail race,"44 (43 M, 1 F)",7:10:37 h,,
586,5:52:30 h,,"*Leominster, MA",USA,1981,M,405,M35,90,8.511,5:47:56 h,1417707,1st Marine Corps 50km Marathon Race (USA),27.10.2019,50km  road race,"1329 (843 M, 486 F)",3:11:52 h,"Green, Bob",
21,9:17:11 h,"Huyton, Margaret",Macclesfield,GBR,,F,1,#NA,12,6.412,9:17:11 h,1464203,Old County Tops Fell Race (GBR),27.06.1998,37mi  trail race,"40 (38 M, 2 F)",7:50:27 h,,
35,23:07:02 h,"Ellmore, Ian",Long Dist. Walkers Ass.,GBR,,M,32,#NA,17,6.962,23:07:02 h,1499237,Metropolitan Police 100 miles walk (GBR),29.-30.07.1989,100mi  walking road on a loop < 5km/3mi,"42 (39 M, 3 F)",18:11:08 h,,
74,6:43:58 h,"Woodall, Robert","*Sims, NC",USA,1977,M,60,M45,6,7.426,6:13:02 h,864263,24th Promise Land 50K++ (USA),20.04.2024,50km  trail race,"295 (205 M, 90 F)",4:46:50 h,,
8,6:08:55 h,"Woodall, Robert","*Sims, NC",USA,1977,M,7,M45,1,8.132,5:40:40 h,864263,6th South Mountains Marathons (USA),27.01.2024,50km  trail race,"49 (43 M, 6 F)",4:49:49 h,,
78,16:06:39 h,"Woodall, Robert",,USA,1977,M,64,M45,10,6.207,14:52:37 h,864263,21th Hellgate 100 km (USA),09.12.2023,100km  trail race,"120 (92 M, 28 F)",10:10:38 h,,
15,23:56:15 h,"Woodall, Robert",,USA,1977,M,12,M45,1,6.858,22:06:14 h,864263,7th No Business 100 (USA),20.-21.10.2023,102mi  trail race,"171 (121 M, 50 F)",20:06:01 h,,
5,9:37:37 h,"Woodall, Robert","*Sims, NC",USA,1977,M,5,M45,2,8.359,8:57:50 h,864263,18th Iron Mountain 50 Mile Trail Run (USA),02.09.2023,50mi  trail race,"39 (32 M, 7 F)",8:47:44 h,,
25,23:21:45 h,,"*Sims, NC",USA,1977,M,23,M45,3,6.889,21:45:11 h,864263,45th Old Dominion 100 Mile Endurance Run (USA),03.-04.06.2023,100mi  trail race,"53 (46 M, 7 F)",18:34:21 h,"Woodall, Robert",
48,29:35:58 h,"Woodall, Robert","*Sims, NC",USA,1977,M,38,M45,6,5.437,27:33:37 h,864263,29th Massanutten Mountain Trails 100 Mile (USA),20.-21.05.2023,100mi  trail race,"141 (107 M, 34 F)",18:04:57 h,,
73,6:41:50 h,"Woodall, Robert","*Sims, NC",USA,1977,M,64,M45,3,7.466,6:14:09 h,864263,23th Promise Land 50K++ (USA),22.04.2023,50km  trail race,"306 (200 M, 106 F)",4:55:53 h,,
19,8:14:22 h,"Woodall, Robert","*Sims, NC",USA,1977,M,15,M45,3,6.068,7:40:19 h,864263,8th Conquer the Rock - Foothills 50K (USA),04.03.2023,50km  trail race,"53 (38 M, 15 F)",6:18:01 h,,
86,16:41:06 h,"Woodall, Robert","*Sims, NC",USA,1977,M,63,M45,12,5.993,15:32:08 h,864263,20th Hellgate 100 km (USA),10.12.2022,100km  trail race,"119 (89 M, 30 F)",10:16:51 h,,
12,28:33:52 h,"Woodall, Robert","*Sims, NC",USA,1977,M,11,M40,4,5.634,26:49:09 h,864263,12th The Georgia Jewel 100 Mile Run (USA),16.-17.09.2022,100mi  trail race,"45 (39 M, 6 F)",22:43:07 h,,
77,33:18:15 h,"Woodall, Robert","*Sims, NC",USA,1977,M,67,M40,14,4.832,31:16:10 h,864263,8th Eastern States 100 Mile (USA),13.-14.08.2022,100mi  trail race,"121 (104 M, 17 F)",20:13:27 h,,
10,7:15:11 h,"Woodall, Robert","*Sims, NC",USA,1977,M,8,M40,1,6.894,6:48:36 h,864263,4th Old Glory Trail Runs (USA),18.06.2022,50km  trail race,"14 (10 M, 4 F)",5:13:19 h,,
76,40:09:56 h,,"*Sims, NC",USA,1977,M,67,M40,14,4.247,37:42:42 h,864263,10th Cruel Jewel 100 Mile (USA),13.-15.05.2022,106mi  trail race,"129 (114 M, 15 F)",23:40:42 h,"Woodall, Robert",
10,14:56:01 h,"Woodall, Robert","*Sims, NC",USA,1977,M,7,M40,1,0.000,14:01:17 h,864263,1st Shadows of the South 50 mile (USA),23.-24.04.2022,50Miles  trail race,"68 (49 M, 19 F)",11:43:14 h,,
39,20:23:26 h,"Woodall, Robert","*Sims, NC",USA,1977,M,35,M40,12,5.841,19:08:41 h,864263,10th Georgia Death Race (USA),26.-27.03.2022,74mi  trail race,"131 (114 M, 17 F)",13:26:33 h,,
